Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-30 03:45",99.16,99.164,99.122,99.14,-0.021,-0.02%,0
"2025-10-30 03:30",99.187,99.209,99.16,99.161,-0.027,-0.03%,0
"2025-10-30 03:15",99.19,99.212,99.172,99.188,-0.002,0.00%,0
"2025-10-30 03:00",99.11,99.21,99.097,99.19,0.08,+0.08%,0
"2025-10-30 02:45",99.139,99.162,99.11,99.11,-0.03,-0.03%,0
"2025-10-30 02:30",99.114,99.14,99.074,99.14,0.026,+0.03%,0
"2025-10-30 02:15",99.125,99.137,99.1,99.114,-0.01,-0.01%,0
"2025-10-30 02:00",99.092,99.131,99.08,99.124,0.032,+0.03%,0
"2025-10-30 01:45",99.105,99.115,99.058,99.092,-0.015,-0.02%,0
"2025-10-30 01:30",99.026,99.114,99.002,99.107,0.08,+0.08%,0
"2025-10-30 01:15",98.989,99.027,98.988,99.027,0.038,+0.04%,0
"2025-10-30 01:00",99.029,99.038,98.988,98.989,-0.04,-0.04%,0
"2025-10-30 00:45",98.981,99.032,98.973,99.029,0.048,+0.05%,0
"2025-10-30 00:30",99.017,99.02,98.981,98.981,-0.035,-0.04%,0
"2025-10-30 00:15",98.97,99.019,98.969,99.016,0.046,+0.05%,0
"2025-10-30 00:00",98.949,98.981,98.933,98.97,0.021,+0.02%,0
"2025-10-29 23:45",98.971,98.98,98.937,98.949,-0.022,-0.02%,0
"2025-10-29 23:30",98.936,98.997,98.936,98.971,0.034,+0.03%,0
"2025-10-29 23:15",99.034,99.036,98.915,98.937,-0.096,-0.10%,0
"2025-10-29 23:00",99.08,99.097,99.032,99.033,-0.047,-0.05%,0
"2025-10-29 22:45",99.116,99.123,99.077,99.08,-0.036,-0.04%,0
"2025-10-29 22:30",99.096,99.147,99.096,99.116,0.02,+0.02%,0
"2025-10-29 22:15",98.978,99.114,98.978,99.096,0.118,+0.12%,0
"2025-10-29 22:00",99.012,99.013,98.978,98.978,-0.034,-0.03%,0
"2025-10-29 21:45",99.023,99.035,99.012,99.012,-0.012,-0.01%,0
"2025-10-29 21:30",99.034,99.038,99.019,99.024,-0.01,-0.01%,0
"2025-10-29 21:15",99,99.04,98.997,99.034,0.034,+0.03%,0
"2025-10-29 21:00",99.048,99.06,98.999,99,-0.048,-0.05%,0
"2025-10-29 20:45",99.044,99.051,99.035,99.048,0.004,0.00%,0
"2025-10-29 20:30",99.087,99.088,99.038,99.044,-0.042,-0.04%,0
"2025-10-29 20:15",99.057,99.088,99.054,99.086,0.029,+0.03%,0
"2025-10-29 20:00",99.069,99.079,99.045,99.057,-0.012,-0.01%,0
"2025-10-29 19:45",99.062,99.073,99.038,99.069,0.007,+0.01%,0
"2025-10-29 19:30",99.051,99.083,99.051,99.062,0.01,+0.01%,0
"2025-10-29 19:15",99.126,99.129,99.045,99.052,-0.073,-0.07%,0
"2025-10-29 19:00",99.138,99.198,99.119,99.125,-0.013,-0.01%,0
"2025-10-29 18:45",99.123,99.152,99.123,99.138,0.002,0.00%,0
"2025-10-29 18:30",99.136,99.136,99.136,99.136,-0.001,0.00%,0
"2025-10-29 17:00",99.135,99.138,99.129,99.137,0.003,0.00%,0
"2025-10-29 16:45",99.135,99.137,99.127,99.134,-0.002,0.00%,0
"2025-10-29 16:30",99.131,99.142,99.129,99.136,0.005,+0.01%,0
"2025-10-29 16:15",99.137,99.137,99.123,99.131,-0.006,-0.01%,0
"2025-10-29 16:00",99.151,99.151,99.129,99.137,-0.014,-0.01%,0
"2025-10-29 15:45",99.147,99.167,99.142,99.151,0.007,+0.01%,0
"2025-10-29 15:30",99.175,99.188,99.102,99.144,-0.031,-0.03%,0
"2025-10-29 15:15",99.202,99.215,99.168,99.175,-0.027,-0.03%,0
"2025-10-29 15:00",99.173,99.237,99.171,99.202,0.028,+0.03%,0
"2025-10-29 14:45",99.25,99.251,99.17,99.174,-0.078,-0.08%,0
"2025-10-29 14:30",99.342,99.356,99.252,99.252,-0.091,-0.09%,0
"2025-10-29 14:15",99.282,99.35,99.261,99.343,0.062,+0.06%,0
"2025-10-29 14:00",99.217,99.333,99.185,99.281,0.061,+0.06%,0
"2025-10-29 13:45",99.188,99.301,99.163,99.22,0.042,+0.04%,0
"2025-10-29 13:30",98.875,99.319,98.818,99.178,0.303,+0.31%,0
"2025-10-29 13:15",98.901,98.905,98.84,98.875,-0.028,-0.03%,0
"2025-10-29 13:00",98.785,98.905,98.767,98.903,0.118,+0.12%,0
"2025-10-29 12:45",98.799,98.809,98.768,98.785,-0.015,-0.02%,0
"2025-10-29 12:30",98.771,98.81,98.77,98.8,0.029,+0.03%,0
"2025-10-29 12:15",98.718,98.773,98.705,98.771,0.052,+0.05%,0
"2025-10-29 12:00",98.725,98.728,98.713,98.719,-0.006,-0.01%,0
"2025-10-29 11:45",98.704,98.737,98.704,98.725,0.021,+0.02%,0
"2025-10-29 11:30",98.678,98.705,98.678,98.704,0.026,+0.03%,0
"2025-10-29 11:15",98.671,98.69,98.667,98.678,0.01,+0.01%,0
"2025-10-29 11:00",98.655,98.708,98.639,98.668,0.013,+0.01%,0
"2025-10-29 10:45",98.698,98.706,98.647,98.655,-0.044,-0.04%,0
"2025-10-29 10:30",98.754,98.756,98.697,98.699,-0.056,-0.06%,0
"2025-10-29 10:15",98.778,98.78,98.739,98.755,-0.023,-0.02%,0
"2025-10-29 10:00",98.753,98.779,98.727,98.778,0.025,+0.03%,0
"2025-10-29 09:45",98.81,98.82,98.749,98.753,-0.057,-0.06%,0
"2025-10-29 09:30",98.809,98.829,98.803,98.81,0.002,0.00%,0
"2025-10-29 09:15",98.844,98.853,98.791,98.808,-0.036,-0.04%,0
"2025-10-29 09:00",98.854,98.889,98.834,98.844,-0.01,-0.01%,0
"2025-10-29 08:45",98.843,98.876,98.82,98.854,0.011,+0.01%,0
"2025-10-29 08:30",98.8,98.853,98.788,98.843,0.043,+0.04%,0
"2025-10-29 08:15",98.847,98.847,98.785,98.8,-0.048,-0.05%,0
"2025-10-29 08:00",98.897,98.9,98.846,98.848,-0.05,-0.05%,0
"2025-10-29 07:45",98.911,98.942,98.898,98.898,-0.013,-0.01%,0
"2025-10-29 07:30",98.888,98.92,98.881,98.911,0.023,+0.02%,0
"2025-10-29 07:15",98.861,98.91,98.854,98.888,0.027,+0.03%,0
"2025-10-29 07:00",98.862,98.867,98.822,98.861,-0.001,0.00%,0
"2025-10-29 06:45",98.858,98.87,98.833,98.862,0.005,+0.01%,0
"2025-10-29 06:30",98.904,98.907,98.853,98.857,-0.047,-0.05%,0
"2025-10-29 06:15",98.841,98.908,98.841,98.904,0.063,+0.06%,0
"2025-10-29 06:00",98.813,98.844,98.804,98.841,0.028,+0.03%,0
"2025-10-29 05:45",98.825,98.832,98.805,98.813,-0.012,-0.01%,0
"2025-10-29 05:30",98.826,98.83,98.803,98.825,0,0.00%,0
"2025-10-29 05:15",98.86,98.862,98.823,98.825,-0.037,-0.04%,0
"2025-10-29 05:00",98.849,98.879,98.838,98.862,0.014,+0.01%,0
"2025-10-29 04:45",98.875,98.877,98.811,98.848,-0.027,-0.03%,0
"2025-10-29 04:30",98.947,98.952,98.861,98.875,-0.071,-0.07%,0
"2025-10-29 04:15",98.982,99.003,98.933,98.946,-0.037,-0.04%,0
"2025-10-29 04:00",98.967,99.009,98.967,98.983,0.016,+0.02%,0
"2025-10-29 03:45",98.918,98.967,98.915,98.967,0.049,+0.05%,0
"2025-10-29 03:30",98.894,98.945,98.887,98.918,0.024,+0.02%,0
"2025-10-29 03:15",98.935,98.94,98.886,98.894,-0.041,-0.04%,0
"2025-10-29 03:00",98.858,98.937,98.856,98.935,0.077,+0.08%,0
"2025-10-29 02:45",98.838,98.869,98.837,98.858,0.02,+0.02%,0
"2025-10-29 02:30",98.836,98.883,98.832,98.838,0.002,0.00%,0
"2025-10-29 02:15",98.844,98.852,98.822,98.836,-0.009,-0.01%,0
"2025-10-29 02:00",98.888,98.896,98.839,98.845,-0.042,-0.04%,0
"2025-10-29 01:45",98.89,98.901,98.884,98.887,-0.004,0.00%,0
"2025-10-29 01:30",98.896,98.897,98.87,98.891,-0.005,-0.01%,0
"2025-10-29 01:15",98.901,98.916,98.888,98.896,-0.005,-0.01%,0
"2025-10-29 01:00",98.9,98.941,98.898,98.901,0.002,0.00%,0
"2025-10-29 00:45",98.92,98.925,98.894,98.899,-0.021,-0.02%,0
"2025-10-29 00:30",98.921,98.931,98.91,98.92,-0.001,0.00%,0
"2025-10-29 00:15",98.886,98.924,98.883,98.921,0.036,+0.04%,0
"2025-10-29 00:00",98.848,98.891,98.837,98.885,0.037,+0.04%,0
"2025-10-28 23:45",98.848,98.863,98.84,98.848,-0.001,0.00%,0
"2025-10-28 23:30",98.83,98.853,98.829,98.849,0.019,+0.02%,0
"2025-10-28 23:15",98.826,98.831,98.813,98.83,0.004,0.00%,0
"2025-10-28 23:00",98.824,98.833,98.82,98.826,0.003,0.00%,0
"2025-10-28 22:45",98.809,98.824,98.807,98.823,0.014,+0.01%,0
"2025-10-28 22:30",98.781,98.813,98.78,98.809,0.028,+0.03%,0
"2025-10-28 22:15",98.772,98.781,98.765,98.781,0.009,+0.01%,0
"2025-10-28 22:00",98.754,98.774,98.749,98.772,0.018,+0.02%,0
"2025-10-28 21:45",98.787,98.787,98.752,98.754,-0.033,-0.03%,0
